species	syndrome
Balmea_stormiae	hummingbird
Cosmibuena_grandiflora	hawkmoth
Cosmibuena_macrocarpa	hawkmoth
Cosmibuena_matudae	hawkmoth
Cosmibuena_valerii	hawkmoth
Hillia_allenii	hummingbird
Hillia_costanensis	bat
Hillia_foldatsii	bat
Hillia_grayumii	bat
Hillia_illustris	bat
Hillia_killipii	hawkmoth
Hillia_longifilamentosa	hummingbird
Hillia_loranthoides	hawkmoth
Hillia_macbridei	hawkmoth
Hillia_macromeris	hawkmoth
Hillia_macrophylla_SA	hawkmoth
Hillia_macrophylla_CA	hawkmoth
Hillia_maxonii	hawkmoth
Hillia_palmana	hawkmoth
Hillia_panamensis	hawkmoth
Hillia_parasitica	hawkmoth
Hillia_pumila	hawkmoth
Hillia_rivalis	hummingbird
Hillia_saldanhaei	hawkmoth
Hillia_tetrandra	hawkmoth
Hillia_triflora_var._pittieri	hummingbird
Hillia_triflora_var._triflora	hummingbird
Hillia_ulei	bat
Hillia_wurdackii	hawkmoth
Hillia_bonoi	hawkmoth
